District,Latitude (generated),Longitude (generated),Active_Cases,Confirmed_Cases,Death_Toll,Recovered_Cases
Nandurbar,21.3667,74.25,1104,4131,106,2921
Nanded,19.15,77.3333,5856,11835,314,5665
Namsai,27.6697651,95.8539641,18,214,1,195
Namakkal,11.2333,78.1667,879,3559,52,2628
Nalanda,25.1222549,85.4549807,427,5212,38,4747
Nainital,29.38,79.45,1275,4398,79,3044
Nagpur,21.1539,79.0831,20979,53853,1446,31428
Nagaur,27.2,74.7333,209,2937,44,2684
Nagapattinam,10.766,79.833,1155,4312,70,3087
Nadia,22.7061898,88.7445352,919,5666,67,4680
Nabarangapur,19.2333,82.55,821,2316,4,1491
Mysuru,12.3031,76.6433,6546,26740,615,19579
Muzaffarpur,26.07,85.45,592,7179,31,6556
Muzaffarnagar,29.4739,77.7041,1124,3491,52,2315
Murshidabad,24.18,88.27,696,4609,54,3859
Munger,25.381,86.465,171,2635,36,2428
Mungeli,22.07,81.68,523,856,0,333
Mumbai,18.9667,72.8333,31300,173596,8230,134066
Morena,26.5,78,145,2311,18,2148
Morbi,22.8167,70.8333,284,1303,15,1004
Moradabad,28.8333,78.7833,1355,6990,125,5510
Mon,26.75,95.1,28,328,1,299
Mokokchung,26.32,94.5,15,40,0,25
Moga,30.8,75.17,543,1918,50,1325
Mirzapur,25.15,82.58,305,2058,26,1727
Mehsana,23.5898681,72.3479594,635,2007,29,1343
Meerut,28.9927,77.6824,2075,6839,184,4580
Mayurbhanj,21.9220655,85.8516602,1005,5888,14,4869
Mau,25.9396567,83.5451121,313,2045,21,1711
Mathura,27.4833,77.6833,858,3257,61,2338
Mansa,29.98,75.38,303,1104,17,784
Mandya,12.5242,76.8958,1952,8570,87,6531
Mandsaur,24.03,75.08,212,1197,14,971
Mandla,22.6,80.38,81,392,5,306
Mandi,31.72,76.92,588,1030,11,431
Mamit,23.9153307,92.4602931,11,34,0,23
Malkangiri,18.35,81.9,252,2843,11,2580
Malda,25,88,502,5734,50,5182
Malappuram,11.0417,76.0794,3226,13565,39,10300
Mainpuri,27.23,79.02,568,2273,38,1667
Mahoba,25.28,79.8729,124,677,6,547
Mahisagar,23.190597,73.3558317,136,766,4,626
Mahendragarh,28.28,76.15,501,2594,3,2090
Mahe,11.7008074,75.5203262,29,109,0,80
Mahasamund,21.1,82.1,821,1473,16,636
Maharajganj,27.13,83.57,693,4050,55,3302
Madurai,9.9197,78.1194,732,15477,374,14371
Madhubani,26.37,86.08,415,5453,16,5022
Madhepura,25.9144,86.7827,306,2665,9,2350
Lunglei,22.88,92.73,11,129,0,118
Ludhiana,30.9083,75.8486,1579,14176,607,11990
Lucknow,26.8606,80.9158,9711,41091,539,30841
Lower Subansiri,27.84,93.59,64,124,0,60
Lower Siang,28.1664541,94.7323603,27,152,0,125
Lower Dibang Valley,28.1428721,95.834347,90,159,0,69
Longleng,26.490749,94.8048501,1,7,0,6
Longding,26.7604,95.3698,42,90,0,48
Lohit,27.9100925,96.1351769,43,193,0,150
Lohardaga,23.43,84.68,161,830,5,664
Lepa Rada,27.983118,94.687942,16,80,0,64
Leh,34.1662567,77.5317187,502,1972,18,1452
Lawngtlai,22.5289617,92.8568738,5,34,0,29
Latur,18.4,76.5833,4544,13037,371,8122
Latehar,23.75,84.5,221,1254,1,1032
Lalitpur,24.6903,78.4189,583,2036,30,1423
Lakhisarai,25.1725811,86.0815324,346,2300,7,1947
Lakhimpur Kheri,27.9063561,80.7887793,754,3387,42,2591
Lahaul and Spiti,32.5022277,76.9630843,21,29,0,8
Kutch,24.28,70.13,417,1652,31,1204
Kushinagar,26.7416957,83.8849613,633,4209,26,3550
Kurung Kumey,27.99983,93.3924,12,19,0,7
Kurukshetra,29.969277,76.8468822,1542,3909,65,2302
Kurnool,15.8222,78.035,3878,52280,425,47977
Kupwara,34.5411,74.2425,933,2906,58,1915
Kullu,31.96,77.1,110,395,1,284
Kulgam,33.64,75.02,134,2108,40,1934
Krishnagiri,12.5333,78.2333,826,3327,45,2456
Krishna,16.4307423,80.2209289,2889,21873,357,18627
Kra Daadi,29.2235413,95.5602284,1,4,0,3
Kozhikode,11.25,75.7667,2659,9270,44,6567
Kottayam,9.5917,76.5222,2235,6508,3,4270
Kota,25.1733863,75.7769083,2614,7805,89,5102
Koriya,23.4295448,81.6163875,522,974,7,445
Korba,22.3458,82.6963,615,1640,5,1020
Koraput,18.8167,82.7167,734,4953,7,4212
Koppal,15.35,76.15,1701,9326,194,7431
Kondagaon,19.6,81.67,339,746,1,406
Kollam,8.9040607,76.5600537,2391,7296,31,4874
Kolkata,22.5411,88.3378,4309,47628,1500,41819
Kolhapur,16.7,74.2333,9508,33745,1017,23220
Kolasib,24.2250465,92.6657401,34,209,0,175
Kolar,13.1333,78.1333,736,4608,77,3795
Kohima,25.6667,94.1194,437,1608,0,1171
Koderma,24.47,85.6,573,2181,17,1591
