,District,Confirmed_Cases,Recovered_Cases,Death_Toll,Active_Cases
425,Ferozepur,2456,1716,79,661
426,Gurdaspur,4354,2812,99,1443
427,Hoshiarpur,3114,1952,98,1064
428,Jalandhar,10149,7235,271,2643
429,Kapurthala,2191,1493,106,592
430,Ludhiana,14176,11990,607,1579
431,Mansa,1104,784,17,303
432,Moga,1918,1325,50,543
433,Pathankot,2470,1568,39,863
434,Patiala,9212,6982,253,1977
435,Rupnagar,1408,983,45,380
436,S.A.S. Nagar,7171,4477,139,2555
437,Sangrur,2895,2308,116,471
438,Shahid Bhagat Singh Nagar,1052,798,32,222
439,Sri Muktsar Sahib,1829,1102,25,702
440,Tarn Taran,1239,863,46,330
441,Karaikal,1432,986,21,425
442,Mahe,109,80,0,29
443,Puducherry Region,17710,13465,349,3896
444,Yanam,1350,991,35,324
445,Ajmer,5473,5010,88,375
446,Alwar,9238,8680,31,527
447,BSF Camp,85,85,0,0
448,Banswara,939,759,7,173
449,Baran,1058,799,13,246
450,Barmer,2510,2400,26,84
451,Bharatpur,3968,3760,73,135
452,Bhilwara,2690,2400,17,273
453,Bikaner,5355,4899,96,360
454,Bundi,1012,688,5,319
455,Chittorgarh,1318,1132,12,174
456,Churu,1299,1133,10,156
457,Dausa,714,604,9,101
458,Dholpur,2562,2368,24,170
459,Dungarpur,1344,1135,13,196
460,Evacuees,61,61,0,0
461,Ganganagar,980,788,9,183
462,Hanumangarh,636,528,2,106
463,Italians,2,2,0,0
464,Jaipur,15672,9699,302,5671
465,Jaisalmer,560,422,6,132
466,Jalore,1541,1356,13,172
467,Jhalawar,2131,1838,9,284
468,Jhunjhunu,1300,1119,7,174
469,Jodhpur,15568,13200,125,2243
470,Karauli,710,582,8,120
471,Kota,7805,5102,89,2614
472,Nagaur,2937,2684,44,209
473,Pali,4674,4399,49,226
474,Pratapgarh,627,481,8,138
475,Rajsamand,1496,1263,18,215
476,Sawai Madhopur,717,582,18,117
477,Sikar,3300,2998,25,277
478,Sirohi,1572,1453,19,100
479,Tonk,863,720,13,130
480,Udaipur,2992,2620,37,335
481,Airport Quarantine,1823,1785,1,37
482,Ariyalur,3315,3112,37,166
483,Chengalpattu,31067,28457,491,2119
484,Chennai,150572,137685,3001,9886
485,Coimbatore,23147,19193,361,3593
486,Cuddalore,16835,14093,184,2558
487,Dharmapuri,2204,1368,20,816
488,Dindigul,8001,7174,151,676
489,Erode,4803,3694,63,1046
490,Kallakurichi,8146,7042,90,1014
491,Kancheepuram,19768,18170,288,1310
492,Kanyakumari,11197,10173,210,814
493,Karur,2281,1806,33,442
494,Krishnagiri,3327,2456,45,826
495,Madurai,15477,14371,374,732
496,Nagapattinam,4312,3087,70,1155
497,Namakkal,3559,2628,52,879
498,Nilgiris,2528,1934,17,577
499,Perambalur,1581,1456,19,106
500,Pudukkottai,7588,6675,122,791
501,Railway Quarantine,428,426,0,2
502,Ramanathapuram,5233,4849,114,270
503,Ranipet,12287,11505,145,637
504,Salem,15066,12664,240,2162
505,Sivaganga,4585,4238,114,233
506,Tenkasi,6400,5664,121,615
507,Thanjavur,8626,7497,132,997
508,Theni,13914,13014,160,740
509,Thiruvallur,28903,26360,490,2053
510,Thiruvarur,5538,4702,65,771
511,Thoothukkudi,12458,11620,119,719
512,Tiruchirappalli,9017,8014,132,871
513,Tirunelveli,11309,10053,191,1065
514,Tirupathur,3857,3220,76,561
515,Tiruppur,5200,3321,87,1792
516,Tiruvannamalai,13485,11827,197,1461
517,Vellore,12899,11626,197,1076
518,Viluppuram,9705,8779,85,841
519,Virudhunagar,13767,13162,205,400
520,Dhalai,2025,1169,8,848
521,Gomati,2208,1549,22,637
522,Khowai,1391,948,18,425
523,North Tripura,1695,1075,9,611
524,Sipahijala,2291,1760,17,514
525,South Tripura,1569,811,9,749
526,Unokoti,1231,641,9,581
527,West Tripura,7305,3972,115,3218
528,Agra,4276,3291,113,872
529,Aligarh,6685,4896,31,1758
530,Ambedkar Nagar,1212,908,24,280
531,Amethi,2024,1455,15,554
532,Amroha,2211,1741,23,447
533,Auraiya,1780,1403,20,357
534,Ayodhya,4780,3767,57,956
